object_type,function_name,signature_text
Wire,ListDirectlyOuterLayerObjects,"7 Feature->ListAttributeNames (Typefitter: String, DynamicOnly: Boolean): List Package: CATPackageMethodObject = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y"
Wire,ListUsedSupportsWithAbscissa,"7 Feature->ListAttributeNames (Typefitter: String, DynamicOnly: Boolean): List Package: CATPackageMethodObject = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y"
Wire,LockPatternInstance,"7 LockPatterninstance (patterninstance: Feature, doLock: Boolean): VoidType Package: CATPackageGenerativeKnowledge | | — oe Al >'@O Leh 7 aS RD 8 leases com @ & &] fey 074 RS [OO (< ofa 4 7 ee a 3S S| Geometrical Set.1 O Define In Were Cbiect [OO"
Wire,Query,"Z Feature->Query (Type: String, Condition: String): List Package: CATPackageMethodFind Sl hi BS WDA Ls 7 eS BRD & [mers JO einen eccccer @ fe € @ é oes “4 EF IP) B [ceometical set efine vitor viet"
Wire,SetAttributeBoolean,"7 Feature->SetAttributeBoolean (String, Boolean}: VoidType Package: CATPackageMethodObject 5 ! ~ | s . = ™~ 2a Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @"
Wire,SetAttributeDimension,"7 Feature->SetAttributeDimension (String, Real, String): VoidType Package: CATPackageMethodObject = ] y GIN s . as oer | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y"
Wire,SetAttributeInteger,"7 Feature->SetAttributelnteger (String, Integer): VoidType Package: CATPackageMethodObject 5 ! ~ | s . = ™~ 2a Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @"
Wire,SetAttributeObject,"7 Feature->SetAttributeO bject (String, Feature): VoidType Package: CATPackageMethodObject 5 ! ~ | s . = ™~ 2a Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @"
Wire,SetAttributeReal,"7 Feature->SetAttributeReal (String, Real): VoidType Package: CATPackageMethodObject 5 ! x. |! 2 . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @"
Wire,SetAttributeString,"7 Feature->SetAttributeString (String, String): VoidType Package: CATPackageMethodObject 5 ! ~ | s . = ™~ 2a Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @"
Wire,Update,7 Feature->Update 0: VoidType Package: CATPackageMethodObject = | | . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Wire,VisualMode,7 Feature->Update 0: VoidType Package: CATPackageMethodObject = | | . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
